Poll,Date,Sample,Approve,Disapprove,Spread,Year
Gallup,1/21 - 1/27,1500 A,37,59,-22,2019
ABC News/Wash Post,1/21 - 1/24,893 RV,38,58,-20,2019
NBC News/Wall St. Jrnl,1/20 - 1/23,900 A,43,54,-11,2019
FOX News,1/20 - 1/22,1008 RV,43,54,-11,2019
Economist/YouGov,1/20 - 1/22,1257 RV,42,55,-13,2019
Emerson,1/20 - 1/21,942 RV,42,52,-10,2019
The Hill/HarrisX,1/18 - 1/22,3001 RV,44,56,-12,2019
PPP (D),1/19 - 1/21,760 RV,40,57,-17,2019
Politico/Morning Consult,1/18 - 1/22,1996 RV,40,57,-17,2019
Reuters/Ipsos,1/16 - 1/22,2274 A,40,55,-15,2019
CBS News,1/18 - 1/21,1102 A,36,59,-23,2019
Rasmussen Reports,1/17 - 1/21,1500 LV,44,56,-12,2019
Harvard-Harris,1/15 - 1/16,1540 RV,45,55,-10,2019
Economist/YouGov,1/12 - 1/15,1289 RV,45,52,-7,2019
Reuters/Ipsos,1/9 - 1/15,3363 A,41,55,-14,2019
NPR/PBS/Marist,1/10 - 1/13,873 RV,40,54,-14,2019
Pew Research,1/9 - 1/14,RV,39,58,-19,2019
Quinnipiac,1/9 - 1/13,1209 RV,41,55,-14,2019
Rasmussen Reports,1/9 - 1/13,1500 LV,43,55,-12,2019
CNN,1/10 - 1/11,848 A,37,57,-20,2019
The Hill/HarrisX,1/8 - 1/11,3015 RV,44,56,-12,2019
IBD/TIPP,1/1 - 1/12,903 A,42,54,-12,2019
Gallup,1/2 - 1/10,1017 A,37,59,-22,2019
Economist/YouGov,1/6 - 1/8,1299 RV,44,53,-9,2019
Reuters/Ipsos,1/2 - 1/8,2201 A,40,55,-15,2019
Reuters/Ipsos,5/4 - 5/5,1015 RV,45,53,-8,2020
Economist/YouGov,5/3 - 5/5,1209 RV,46,51,-5,2020
Rasmussen Reports,5/4 - 5/6,1500 LV,49,48,1,2020
Politico/Morning Consult,5/2 - 5/3,1987 RV,42,52,-10,2020
CNBC,5/1 - 5/3,1489 LV,46,54,-8,2020
Monmouth,4/30 - 5/4,739 RV,44,51,-7,2020
Reuters/Ipsos,4/27 - 4/29,1876 RV,43,54,-11,2020
IBD/TIPP,4/26 - 4/29,1225 A,44,44,Tie,2020
Emerson,4/26 - 4/28,1200 RV,41,50,-9,2020
Economist/YouGov,4/26 - 4/28,1222 RV,44,53,-9,2020
Politico/Morning Consult,4/24 - 4/26,1991 RV,44,52,-8,2020
Gallup,4/14 - 4/28,1500 A,49,47,2,2020
USA Today/Suffolk,4/21 - 4/25,1000 RV,43,53,-10,2020
Economist/YouGov,4/19 - 4/21,1144 RV,46,51,-5,2020
The Hill/HarrisX,4/19 - 4/20,958 RV,50,50,Tie,2020
Politico/Morning Consult,4/18 - 4/19,1991 RV,44,51,-7,2020
Reuters/Ipsos,4/15 - 4/21,3806 RV,43,54,-11,2020
Harvard-Harris,4/14 - 4/16,2394 RV,49,51,-2,2020
NBC News/Wall St. Jrnl,4/13 - 4/15,900 RV,46,51,-5,2020
Reuters/Ipsos,4/13 - 4/14,937 RV,46,51,-5,2020
Economist/YouGov,4/12 - 4/14,1166 RV,45,53,-8,2020
The Hill/HarrisX,4/10 - 4/13,2854 RV,48,52,-4,2020
Politico/Morning Consult,4/10 - 4/12,1990 RV,45,52,-7,2020
Gallup,4/1 - 4/14,1017 A,43,54,-11,2020
Reuters/Ipsos,4/6 - 4/7,959 RV,42,55,-13,2020
Economist/YouGov,4/5 - 4/7,1147 RV,45,53,-8,2020
FOX News,4/4 - 4/7,1107 RV,49,49,Tie,2020
Monmouth,4/3 - 4/7,743 RV,46,49,-3,2020
CNBC,4/3 - 4/6,804 A,46,43,3,2020
CNN,4/3 - 4/6,875 RV,44,53,-9,2020
Quinnipiac,4/2 - 4/6,2077 RV,45,51,-6,2020
Politico/Morning Consult,4/3 - 4/5,1990 RV,44,54,-10,2020
IBD/TIPP,3/29 - 4/1,1226 A,45,45,Tie,2020
Reuters/Ipsos,3/30 - 3/31,930 RV,46,52,-6,2020
Economist/YouGov,3/29 - 3/31,1194 RV,47,50,-3,2020
Grinnell/Selzer,3/27 - 3/30,777 LV,48,48,Tie,2020
Politico/Morning Consult,3/27 - 3/29,1997 RV,45,52,-7,2020
Harvard-Harris,3/24 - 3/26,2410 RV,48,52,-4,2020
ABC News/Wash Post,3/22 - 3/25,845 RV,49,47,2,2020
FOX News,3/21 - 3/24,1011 RV,48,51,-3,2020
Economist/YouGov,3/22 - 3/24,1170 RV,47,51,-4,2020
The Hill/HarrisX,3/22 - 3/23,1002 RV,50,50,Tie,2020
Reuters/Ipsos,3/18 - 3/24,3763 RV,45,52,-7,2020
Politico/Morning Consult,3/20 - 3/22,1996 RV,45,52,-7,2020
Monmouth,3/18 - 3/22,754 RV,48,48,Tie,2020
Emerson,3/18 - 3/19,1100 RV,46,45,1,2020
Gallup,3/13 - 3/22,1020 A,49,45,4,2020
Reuters/Ipsos,3/16 - 3/17,978 RV,43,54,-11,2020
Economist/YouGov,3/15 - 3/17,1129 RV,44,54,-10,2020
Politico/Morning Consult,3/13 - 3/16,1986 RV,43,54,-11,2020
NPR/PBS/Marist,3/13 - 3/14,784 RV,43,50,-7,2020
NBC News/Wall St. Jrnl,3/11 - 3/13,900 RV,46,51,-5,2020
Reuters/Ipsos,3/9 - 3/10,961 RV,42,54,-12,2020
Economist/YouGov,3/8 - 3/10,1191 RV,45,52,-7,2020
The Hill/HarrisX,3/8 - 3/9,1001 RV,46,54,-8,2020
Gallup,3/2 - 3/13,1019 A,44,52,-8,2020
Politico/Morning Consult,3/6 - 3/8,1992 RV,44,53,-9,2020
Quinnipiac,3/5 - 3/8,1261 RV,41,54,-13,2020
CNN,3/4 - 3/7,1084 RV,45,52,-7,2020
Reuters/Ipsos,3/2 - 3/3,943 RV,44,54,-10,2020
Rasmussen Reports,3/2 - 3/4,1500 LV,48,50,-2,2020
Economist/YouGov,3/1 - 3/3,1134 RV,44,53,-9,2020
Politico/Morning Consult,2/28 - 3/1,1992 RV,44,53,-9,2020
